genus_species,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples,biblio_id
sciaenops ocellatus,finfish,NA,US-Florida,17.1,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
sciaenops ocellatus,finfish,NA,US-Florida,24.7,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
sciaenops ocellatus,finfish,NA,US-Florida,16.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
sciaenops ocellatus,finfish,NA,US-Florida,35.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
sciaenops ocellatus,finfish,NA,US-Florida,45.6,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
sciaenops ocellatus,finfish,NA,US-Florida,104.5,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
scomber japonicus,finfish,NA,US-california,8.835,70.4,231.1,12.7,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
scomber japonicus,finfish,mackerel-chub (Pacific),US-California,7.7506415,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency) Region 9 and NOAA (National Oceanic and Atmospheric Administration. 2007. 2002-2004 Southern California Coastal Marine Fish Contaminants Survey. Available: http://earth1.epa.gov/region09/features/pvshelf/montrose_report.pdf [accessed 14 August 2007].,28,karimi
scomber scombrus,finfish,NA,US-north atlantic,4.75,42.3,372.6,6.5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
scomber scombrus,finfish,mackerel-Atlantic,US,3.84453125,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,64,karimi
scomberomorus cavalla,finfish,NA,US-south atlantic,31.92,60.3,466.8,8.5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
scomberomorus cavalla,finfish,NA,US-gulf,93.86,57.2,202.6,6.4,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
