species,contaminant,dataset,concentration
lutjanus synagris,mercury,adams,155
lutjanus synagris,mercury,karimi,79.34502083333334
macrozoarces americanus,arsenic,hall,162.66666666666666
macrozoarces americanus,cadmium,hall,8.571428571428571
macrozoarces americanus,lead,hall,13.8
macrozoarces americanus,mercury,hall,11.875
macruronus novaezelandiae,mercury,karimi,146.875
makaira nigricans,arsenic,hall,183.80833333333334
makaira nigricans,cadmium,hall,17.125
makaira nigricans,lead,hall,12.21
makaira nigricans,mercury,adams,1925
makaira nigricans,mercury,hall,2175.0546875
makaira nigricans,mercury,karimi,1609.7493421052632
malanogrammus aeglefinus,arsenic,hall,625.5333333333333
malanogrammus aeglefinus,cadmium,hall,10.428571428571429
malanogrammus aeglefinus,lead,hall,15.280000000000001
malanogrammus aeglefinus,mercury,hall,29.6875
megalops atlantica,arsenic,hall,761.5333333333333
megalops atlantica,cadmium,hall,13.571428571428571
megalops atlantica,lead,hall,17.959999999999997
megalops atlantica,mercury,hall,910.21875
megalops atlanticus,mercury,adams,181.25
melanogrammus aeglefinus,mercury,karimi,31.25
menticirrhus americanus,arsenic,hall,111.66666666666667
menticirrhus americanus,cadmium,hall,15.714285714285714
menticirrhus americanus,lead,hall,17.599999999999998
menticirrhus americanus,mercury,adams,128.125
menticirrhus americanus,mercury,hall,0
menticirrhus saxatilis,arsenic,hall,331.80000000000007
menticirrhus saxatilis,cadmium,hall,8.714285714285714
menticirrhus saxatilis,lead,hall,14.799999999999999
menticirrhus saxatilis,mercury,adams,156.25
menticirrhus saxatilis,mercury,hall,47.5
mercenaria mercenaria,arsenic,hall,291.4
mercenaria mercenaria,cadmium,hall,45.214285714285715
mercenaria mercenaria,lead,hall,35.96
mercenaria mercenaria,mercury,hall,9.65625
mercenaria mercenaria,mercury,karimi,54.94318030435931
merluccius bilinearis,arsenic,hall,350.79999999999995
merluccius bilinearis,cadmium,hall,7.57142857142857
merluccius bilinearis,lead,hall,18.919999999999998
merluccius bilinearis,mercury,hall,0
merluccius bilinearis,mercury,karimi,28.749999999999996
merluccius productus,arsenic,hall,183.33333333333331
merluccius productus,cadmium,hall,8.857142857142858
merluccius productus,lead,hall,22.06
merluccius productus,mercury,hall,78.078125
merluccius productus,mercury,karimi,125.8125
metacarcinus magister,mercury,karimi,66.44053571428572
micropogon undulatus,arsenic,hall,155.3111111111111
micropogon undulatus,cadmium,hall,11.047619047619047
micropogon undulatus,lead,hall,19.626666666666665
