user_supplied_name	submitted_name	matched_name2	score
Panopea abrupta	Panopea abrupta	Panopea abrupta	0.988
Chamelea gallina	Chamelea gallina	Chamelea gallina	0.988
Auxis rochei	Auxis rochei	Auxis rochei	0.988
Ficus subintermedia	Ficus subintermedia	Ficus subintermedia	0.988
Carcinus maenas	Carcinus maenas	Carcinus maenas	0.988
Paralithodes camtschaticus	Paralithodes camtschaticus	Paralithodes camtschaticus	0.988
Paralithodes platypus	Paralithodes platypus	Paralithodes platypus	0.988
Chionoecetes opilio	Chionoecetes opilio	Chionoecetes opilio	0.988
Chionoecetes spp	Chionoecetes spp	Chionoecetes	0.75
Dasyatis sabina	Dasyatis sabina	Dasyatis sabina	0.988
Dasyatis americana	Dasyatis americana	Dasyatis americana	0.988
Rhizoprionodon terraenovae	Rhizoprionodon terraenovae	Rhizoprionodon terraenovae	0.988
Carcharhinus limbatus	Carcharhinus limbatus	Carcharhinus limbatus	0.988
Penaeus kerathurus	Penaeus kerathurus	Penaeus kerathurus	0.988
Pandalus borealis	Pandalus borealis	Pandalus borealis	0.988
Trachypenaeus curvirostris	Trachypenaeus curvirostris	Trachypenaeus curvirostris	0.988
