genus_species,common_name,part_edited,biblio_id,cine_id,ca_mg,fe_mg,zn_mg,epa,dha,page_id,trad_food_id,subgroup
Oncorhynchus tshawytscha,Chinook Salmon,muscle,11,602,22,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,muscle,11,604,14,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,muscle,27,606,20,0.9,0.8,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,liver,34,611,NA,2.6,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,muscle,11,612,20,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,muscle,11,613,22,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,muscle,11,614,14,NA,NA,NA,NA,6446,NA,NA
Ophiodon elongatus,Lingcod,liver,34,619,5,1,NA,NA,NA,6433,NA,NA
Ophiodon elongatus,Lingcod,muscle,27,622,35,0.49,0.03,NA,NA,6433,NA,NA
Osmerus mordax,Rainbow Smelt,muscle,55,625,NA,0.9,1.65,0.12,0.18,6451,NA,NA
Osmerus mordax,Rainbow Smelt,muscle,27,626,NA,NA,2,NA,NA,6451,NA,NA
Osmerus mordax,Rainbow Smelt,whole,27,628,NA,NA,NA,NA,NA,6451,NA,NA
Osmerus mordax,Rainbow Smelt,muscle_organs,34,634,74,0.6,NA,NA,NA,6451,NA,NA
Ostrea lurida,Olympia Oyster,whole,27,635,68,10.3,NA,NA,NA,6507,NA,NA
Ostreidae,Oysters,muscle,27,643,NA,NA,NA,NA,NA,6507,NA,NA
Ostreidae,Oysters,whole,27,644,111,8.185,23.2,NA,NA,6507,NA,NA
Parastichopus californicus,Giant California Sea Cucumber,muscle,19,646,30,0.6,NA,NA,NA,6524,NA,NA
Parophrys vetulus,English Sole,muscle,27,648,NA,NA,NA,NA,NA,6152,NA,NA
Parophrys vetulus,English Sole,viscera,27,649,NA,NA,NA,NA,NA,6152,NA,NA
Pectinidae,Scallops,muscle,55,655,NA,NA,NA,0.19,0.18,6508,NA,NA
Pectinidae,Scallops,muscle,65,656,9.2,0.107,1.22,NA,NA,6508,NA,NA
Pectinidae,Scallops,muscle,27,657,46,1.1,NA,NA,NA,6508,NA,NA
Perca flavescens,Yellow Perch,muscle,44,660,59.77,0.209,0.546,NA,NA,6411,NA,NA
Perca flavescens,Yellow Perch,muscle,27,662,NA,0.56,1.2,NA,NA,6411,NA,NA
Perca flavescens,Yellow Perch,whole,27,663,NA,NA,NA,NA,NA,6411,NA,NA
